GII,Urban&Service,Industry&Business,Mining&Accommodation,Public Service,Economic Development,Science&Administration,Cluster
0.053,0.2880077797413986,1.2243838457793128,-0.3664075634713493,-0.4101529641195078,0.3094149132945665,1.4170457078711365,7
0.048,-1.8529517920865133,0.31201711406481997,-0.6268448908943965,0.26219205664757517,-1.0249034135593769,-1.372425101318955,0
0.21,0.4865430475477793,0.01429708029139688,0.7689861087329597,-0.15538345669916548,0.8759353701517422,-3.044697125774239,2
0.018,0.24171584080835928,1.1047378537451218,0.47329680712273947,-0.8468539281511243,-0.6129361718181926,0.9722981677397702,7
0.123,-0.7473796722470496,-2.1054149055388294,3.1299583613694835,-1.0411766553268464,1.7093439065234526,0.5678729108668881,3
0.073,-0.11967951671108516,1.430979377487414,0.18347345202407284,0.06400133816998299,0.6674246552649875,0.34161069498174373,1
0.013,-1.1736617895457395,0.8866416305423565,0.866096434034065,-0.1839749808162748,-0.795786295769371,-0.9541395757696731,0
0.057,-1.411643351205577,0.6073798332796947,-1.940557474700494,0.5018498454631077,0.7177772837233161,0.3846056926800642,4
0.1,1.5143265961916637,1.2758640649256277,-0.09428731176069464,-0.38518219641101,0.12980315343728285,0.7263699591082381,5
0.033,-0.6379073096177559,0.9318373400084896,0.18319871368255855,-0.5656075595058249,-0.14530887407168347,0.08631070721870988,7
0.083,-0.29201888057894176,-0.010420737376217246,-0.0031250244339277662,-0.8965360187028774,0.09514104093536517,0.14720184150260412,7
0.093,-0.010738170304795375,-1.6375405383680026,-0.31835174415665307,0.4033989267444416,0.933286135336304,0.6507322747432766,4
0.221,0.4962844186197945,0.2534564952829881,-1.0119176302928237,0.7068514673228534,0.846639981655981,0.5027538798602827,1
0.056,-1.29184670673432,0.1131512481339735,-0.1666531313446921,0.145290574699097,1.4613860950473017,-0.49818251813530223,1
0.105,1.7649421204803333,-0.31343084614029026,-0.3284658118740505,1.4262038166038014,-0.2822812207307763,-0.3286791270428105,6
0.044,-0.6543505726644597,-1.2444313662901503,0.2712737749180985,1.3003123398184195,-2.6903633059749916,1.2951811418901187,3
0.151,1.4241130087310563,-0.1609213967748075,1.1580529749144621,2.179772717956084,0.11393327265452707,0.7190956922089653,6
0.167,-0.19197604365519044,0.4983472894289177,0.5268098745857452,1.7066357156971277,-0.019803130334155362,0.05637942469271133,6
0.025,-0.4248552592190346,0.4697084233015614,1.2340492705545183,0.7266306033561534,-0.1721013001665637,0.012158993925308203,0
0.016,-0.6183457323925547,0.5340659783298825,0.6383965195499878,-0.6898569089380097,-1.294038258502047,0.40561612356639976,7
0.109,1.2825052650898938,-1.347493792061178,-0.08012705770242795,-0.024440055562183045,-0.9368446651384211,-0.11603922239843922,3
0.067,-0.6211338693737088,-0.8190218442218528,-1.5205954989852088,0.22496185204067637,2.1655454911305503,1.0752869486766616,4
0.282,0.7568281564278766,-1.1112809147903815,-1.3001062846131486,0.7432623302769393,-0.14028613162943,-2.236985298919973,2
0.18,1.5358507417109484,0.6092968134561934,0.2693729725870588,-1.6832929030878538,-0.02296049993491274,-0.8725714228171543,5
0.071,0.469396996526607,-1.9229313950215994,-1.4795848758848962,-2.458977993632075,-0.9943092017363852,0.5548331468745965,3
0.023,-1.364706215601301,-0.5010789240996258,-0.28774224166227635,-0.16116371767496315,-0.9017485166279101,-0.44571366432737636,0
